obj_func,data2,data3,data4
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142016987636930,1.3333300170020776,3.3163312556453340e-6,0
-4.5141938075122416,1.3333306802683289,3.9795975067744008e-6,9.9489937669349198e-7
-4.5142036424242447,1.3333313435345799,1.9897987533872004e-6,0
-4.5141957511726511,1.3333320068008312,2.6530650045162676e-6,9.9489937669349198e-7
-4.5142016750626031,1.3333313435345799,1.3265325022581338e-6,0
-4.5141937838112813,1.3333320068008312,1.9897987533872004e-6,9.9489937669349198e-7
-4.5142026468929837,1.3333320068008312,6.6326625112906690e-7,0
-4.5141947556415927,1.3333326700670822,1.3265325022581338e-6,9.9489937669349198e-7
-4.5142036187234371,1.3333326700670822,0,0
-4.5141957274719751,1.3333333333333335,6.6326625112906690e-7,9.9489937669349198e-7
