x1,x2
0,-0.50000000000000000,-0
0,-0,1.0000000000000000
0,-0,-0
0,0.50000000000000000,1.0000000000000000
0,-0.71530242955104983,0.25000000000000000
0,-0.50000000000000000,0.86602540378443871
0,0.71530242955104983,0.51165756572163457
0,0.77562699801633983,0.69881502150309094
0,-0.77562699801633994,0.51165756572163457
0,-0.71530242955104983,0.69881502150309094
0,0.78505131814998863,0.61630557212903458
0,0.78604526750386761,0.61943072887205519
0,-0.78505131814998874,0.60159724005183934
0,-0.77562699801633994,0.63119153982619314


